custom_fields[pid],category,subcategory,group
6ES7523-1BL00-0AA0,PLC,PLC Hardware,I/O Module
6ES7522-5HH00-0AB0,PLC,PLC Hardware,I/O Module
6ES7592-2AX00-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7547-1JF00-0AB0,PLC,PLC Hardware,Communication Module
