custom_fields[pid],category,subcategory,group
6ES7400-1TA11-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7591-1AA01-0AA0,PLC,PLC Hardware,CPU
6ES7403-1TA11-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7515-2FM01-0AB0,PLC,PLC Hardware,CPU
6ES7515-2AM01-0AB0,PLC,PLC Hardware,CPU
6ES7461-0AA01-0AA0,PLC,PLC Hardware,Communication Module
6ES7461-0AA00-7AA0,PLC,PLC Hardware,Communication Module
6ES7516-3FN01-0AB0,PLC,PLC Hardware,CPU
6ES7516-3AN01-0AB0,PLC,PLC Hardware,CPU
6ES7460-3AA01-0AB0,PLC,PLC Hardware,Communication Module
6ES7405-0RA02-0AA0,PLC,PLC Hardware,Power Supply
6ES7460-0AA01-0AB0,PLC,PLC Hardware,Communication Module
6ES7455-1VS00-0AE0,PLC,PLC Hardware,Function Module
6ES7455-0VS00-0AE0,PLC,PLC Hardware,Function Module
6ES7522-5FH00-0AB0,PLC,PLC Hardware,I/O Module
6ES7453-3AH00-0AE0,PLC,PLC Hardware,Function Module
6ES7403-1TA01-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7403-1JA01-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7401-2TA01-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7400-2JA00-0AA0,PLC,PLC Hardware,PLC Accessories
6DD1661-0AE1,PLC,PLC Hardware,Communication Module
6ES7400-1TA01-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7400-1JA01-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7365-0BA01-0AA0,PLC,PLC Hardware,Communication Module
6ES7361-3CA01-0AA0,PLC,PLC Hardware,Communication Module
6ES7360-3AA01-0AA0,PLC,PLC Hardware,Communication Module
6ES7355-1VH10-0AE0,PLC,PLC Hardware,I/O Module
6ES7552-1AA00-0AB0,PLC,PLC Hardware,I/O Module
6ES7355-0VH10-0AE0,PLC,PLC Hardware,I/O Module
6ES7545-5DA00-0AB0,PLC,Distributed I/O,Communication Module
6ES7405-0KR02-0AA0,PLC,PLC Hardware,Power Supply
6ES7517-3FP00-0AB0,PLC,PLC Hardware,CPU
6ES7407-0RA02-0AA0,PLC,PLC Hardware,Power Supply
6ES7517-3AP00-0AB0,PLC,PLC Hardware,CPU
6ES7407-0KR02-0AA0,PLC,PLC Hardware,Power Supply
6ES7154-2AA01-0AB0,PLC,Distributed I/O,Communication Module
6ES7138-4DF11-0AB0,PLC,Distributed I/O,Function Module
6ES7407-0KA02-0AA0,PLC,PLC Hardware,Power Supply
6ES7138-4DF01-0AB0,PLC,Distributed I/O,Function Module
6ES7407-0DA02-0AA0,PLC,PLC Hardware,Power Supply
6ES7405-0DA02-0AA0,PLC,PLC Hardware,Power Supply
6ES7138-6DB00-0BB1,PLC,Distributed I/O,Function Module
6ES7138-4DE02-0AB0,PLC,Distributed I/O,Function Module
6ES7154-1AA01-0AB0,PLC,Distributed I/O,Communication Module
6ES7138-4DA04-0AB0,PLC,Distributed I/O,Function Module
6ES7151-1AA06-0AB0,PLC,Distributed I/O,Communication Module
6ES7138-4DL00-0AB0,PLC,Distributed I/O,Function Module
6ES7492-2XX00-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7153-2BA10-0XB0,PLC,Distributed I/O,Communication Module
6ES7532-5NB00-0AB0,PLC,PLC Hardware,I/O Module
6ES7531-7QD00-0AB0,PLC,PLC Hardware,I/O Module
6ES7534-7QE00-0AB0,PLC,PLC Hardware,I/O Module
6ES7331-7PF11-0AB0,PLC,PLC Hardware,I/O Module
6ES7492-1CL00-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7492-1BL00-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7492-1AL00-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7155-6AR00-0AN0,PLC,Distributed I/O,Communication Module
6ES7490-1AA00-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7400-2JA10-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7490-0AB00-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7400-1JA11-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7490-0AA00-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7452-1AH00-0AE0,PLC,PLC Hardware,Function Module
6ES7451-3AL00-0AE0,PLC,PLC Hardware,Function Module
6ES7405-0KA02-0AA0,PLC,PLC Hardware,Power Supply
6ES7521-1BL10-0AA0,PLC,PLC Hardware,I/O Module
6ES7521-1BH10-0AA0,PLC,PLC Hardware,I/O Module
