custom_fields[pid],category,subcategory,group
6ES7807-3BA01-0YA0,PLC,Software,PLC Programming
6ES7658-1EX00-2YL8,PLC,Software,PLC Programming
6ES7972-4AA50-0XA0,PLC,Profinet,Network Component
6ES7964-2AA04-0AB0,PLC,PLC Hardware,PLC Accessories
6ES7864-0AC01-0YX0,PLC,Software,PLC Programming
6ES7862-0AC01-0YA1,PLC,Software,PLC Programming
6ES7862-0AC01-0YA0,PLC,Software,PLC Programming
6ES7972-0AB01-0XA0,PLC,Profinet,Network Component
6ES7803-0CA01-0YX2,PLC,Software,PLC Programming
6ES7841-0CA01-0YX2,PLC,Software,PLC Programming
6ES7840-0CA01-0YX2,PLC,Software,PLC Programming
6ES7833-1CC00-6YX0,PLC,Software,PLC Programming
6ES7811-0CA01-0YX2,PLC,Software,PLC Programming
6ES7870-1AB01-0YA1,PLC,PLC hardware,Communication Module
6ES7870-1AB01-0YA0,PLC,PLC hardware,Communication Module
6ES7870-1AA01-0YA1,PLC,PLC hardware,Communication Module
6ES7870-1AA01-0YA0,PLC,PLC hardware,Communication Module
6ES7860-4AA01-0YX0,PLC,Software,PLC Programming
6ES7648-2CF10-1BA0,PLC,Software,Device & Network Configuration
6ES7511-1AK02-0AB0,PLC,PLC Hardware,CPU
6ES7518-4FX00-1AC0,PLC,PLC Hardware,CPU
6ES7518-4AX00-1AC0,PLC,PLC Hardware,CPU
6ES7513-1FL02-0AB0,PLC,PLC Hardware,CPU
6ES7516-3UN00-0AB0,PLC,PLC Hardware,CPU
6ES7516-3TN00-0AB0,PLC,PLC Hardware,CPU
6ES7505-0RB00-0AB0,PLC,PLC Hardware,Power Supply
6ES7511-1UK01-0AB0,PLC,PLC Hardware,CPU
6ES7515-2UM01-0AB0,PLC,PLC Hardware,CPU
6ES7553-1AA00-0AB0,PLC,PLC Hardware,I/O Module
6ES7517-3UP00-0AB0,PLC,PLC Hardware,CPU
6ES7517-3TP00-0AB0,PLC,PLC Hardware,CPU
6ES7516-2PN00-0AB0,PLC,Distributed I/O,CPU
6ES7516-2GN00-0AB0,PLC,Distributed I/O,CPU
6ES7515-2TM01-0AB0,PLC,PLC Hardware,CPU
6ES7511-1TK01-0AB0,PLC,PLC Hardware,CPU
6ES7532-5ND00-0AB0,PLC,PLC Hardware,I/O Module
6ES7531-7PF00-0AB0,PLC,PLC Hardware,I/O Module
6ES7531-7NF00-0AB0,PLC,PLC Hardware,I/O Module
6ES7416-3XS07-0AB0,PLC,PLC Hardware,CPU
6ES7416-2XP07-0AB0,PLC,PLC Hardware,CPU
6ES7416-2FP07-0AB0,PLC,PLC Hardware,CPU
6ES7414-3XM07-0AB0,PLC,PLC Hardware,CPU
6ES7414-2XL07-0AB0,PLC,PLC Hardware,CPU
6ES7412-2XK07-0AB0,PLC,PLC Hardware,CPU
6ES7412-1XJ07-0AB0,PLC,PLC Hardware,CPU
6ES7526-2BF00-0AB0,PLC,PLC Hardware,I/O Module
6ES7526-1BH00-0AB0,PLC,PLC Hardware,I/O Module
6ES7417-4XT07-0AB0,PLC,PLC Hardware,CPU
6ES7416-3ES07-0AB0,PLC,PLC Hardware,CPU
6ES7414-3EM07-0AB0,PLC,PLC Hardware,CPU
6ES7412-2EK07-0AB0,PLC,PLC Hardware,CPU
6ES7522-1BL01-0AB0,PLC,PLC Hardware,I/O Module
6ES7521-7EH00-0AB0,PLC,PLC Hardware,I/O Module
6ES7512-1DK01-0AB0,PLC,Distributed I/O,CPU
6ES7510-1SJ01-0AB0,PLC,Distributed I/O,CPU
6ES7591-1AA01-0AA0,PLC,PLC Hardware,CPU
6ES7515-2FM01-0AB0,PLC,PLC Hardware,CPU
6ES7515-2AM01-0AB0,PLC,PLC Hardware,CPU
6ES7510-1DJ01-0AB0,PLC,Distributed I/O,CPU
6ES7516-3FN01-0AB0,PLC,PLC Hardware,CPU
6ES7516-3AN01-0AB0,PLC,PLC Hardware,CPU
6ES7512-1SK01-0AB0,PLC,Distributed I/O,CPU
6ES7522-5FH00-0AB0,PLC,PLC Hardware,I/O Module
6ES7552-1AA00-0AB0,PLC,PLC Hardware,I/O Module
6ES7545-5DA00-0AB0,PLC,Distributed I/O,Communication Module
6ES7517-3FP00-0AB0,PLC,PLC Hardware,CPU
6ES7517-3AP00-0AB0,PLC,PLC Hardware,CPU
6ES7532-5NB00-0AB0,PLC,PLC Hardware,I/O Module
6ES7531-7QD00-0AB0,PLC,PLC Hardware,I/O Module
6ES7534-7QE00-0AB0,PLC,PLC Hardware,I/O Module
6ES7521-1BL10-0AA0,PLC,PLC Hardware,I/O Module
6ES7521-1BH10-0AA0,PLC,PLC Hardware,I/O Module
6ES7518-4FP00-0AB0,PLC,PLC Hardware,CPU
6ES7518-4AP00-0AB0,PLC,PLC Hardware,CPU
6ES7195-3AA40-0XA0,PLC,Software,Device & Network Configuration
6ES7195-3AA20-0XA0,PLC,Software,Device & Network Configuration
6ES7195-3AA30-0XA0,PLC,Software,Device & Network Configuration
6ES7195-3AA10-0XA0,PLC,Software,Device & Network Configuration
6ES7195-3AA00-0YA0,PLC,Software,Device & Network Configuration
6ES7317-7UL10-0AB0,PLC,PLC Hardware,CPU
6ES7315-7TJ10-0AB0,PLC,PLC Hardware,CPU
6ES7317-7TK10-0AB0,PLC,PLC Hardware,CPU
6ES7551-1AB00-0AB0,PLC,PLC Hardware,I/O Module
6ES7590-5CA00-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7590-1BC00-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7590-0AA00-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7550-1AA00-0AB0,PLC,PLC Hardware,I/O Module
6ES7541-1AD00-0AB0,PLC,PLC Hardware,Communication Module
6ES7541-1AB00-0AB0,PLC,PLC Hardware,Communication Module
6ES7540-1AD00-0AA0,PLC,PLC Hardware,Communication Module
6ES7540-1AB00-0AA0,PLC,PLC Hardware,Communication Module
6ES7532-5HD00-0AB0,PLC,PLC Hardware,I/O Module
6ES7531-7NF10-0AB0,PLC,PLC Hardware,I/O Module
6ES7522-5HF00-0AB0,PLC,PLC Hardware,I/O Module
6ES7522-5FF00-0AB0,PLC,PLC Hardware,I/O Module
6ES7522-1BF00-0AB0,PLC,PLC Hardware,I/O Module
6ES7521-1FH00-0AA0,PLC,PLC Hardware,I/O Module
6ES7521-1BL00-0AB0,PLC,PLC Hardware,I/O Module
6ES7521-1BH50-0AA0,PLC,PLC Hardware,I/O Module
6ES7521-1BH00-0AB0,PLC,PLC Hardware,I/O Module
6ES7507-0RA00-0AB0,PLC,PLC Hardware,Power Supply
6ES7505-0KA00-0AB0,PLC,PLC Hardware,Power Supply
6ES7414-5HM06-0AB0,PLC,PLC Hardware,CPU
6ES7417-5HT06-0AB0,PLC,PLC Hardware,CPU
6ES7416-5HS06-0AB0,PLC,PLC Hardware,CPU
6ES7412-5HK06-0AB0,PLC,PLC Hardware,CPU
6ES7312-5BF04-0AB0,PLC,PLC Hardware,CPU
6ES7317-6FF04-0AB0,PLC,PLC Hardware,CPU
6ES7317-2AK14-0AB0,PLC,PLC Hardware,CPU
6ES7314-6CH04-0AB0,PLC,PLC Hardware,CPU
6ES7314-6BH04-0AB0,PLC,PLC Hardware,CPU
6ES7313-6CG04-0AB0,PLC,PLC Hardware,CPU
6ES7313-6BG04-0AB0,PLC,PLC Hardware,CPU
